Song,Artist,easy,basic,advanced,expert,master,remaster
MIRROR of MAGIC,Shoichiro Hirata feat.SUIMI,3,4.0,7,9,11.7,-
MYTHOS,Cranky feat. まらしぃ & てっぺい先生,2,4.0,7.8,10.4,13,-
Magical Flavor,DECO*27 feat.Tia,2,4.0,7.5,9,12.2,-
Mare Maris,M2U,3,5.0,8.5,10.8,12.9,-
Maxi,Nizikawa,3,5.0,8.5,10.8,12.8,-
MilK,モリモリあつし,1,4.0,6.5,10.8,12.8,-
Money Money,暁Records,2,4.0,6.5,9.2,12,-
Monochrome Rainbow,Sta/Call,2,4.0,7.8,9.4,11,-
Moon of Noon,Sampling Masters MEGA,4,6.0,8.2,11.2,13.4,-
Mr. Wonderland,sasakure.UK,3,5.0,6.5,8.7,12,-
My Dearest Song,月鈴 白奈(CV:高野 麻里佳),3,4.0,7.5,10.2,12.5,-
My First Phone,cubesato,2,5.0,7.8,10.9,12.8,-
Mysterious Destiny,「BAYONETTA(ベヨネッタ)」,2,4.0,6.7,10.6,12.2,-
NIGHT OF FIRE,NIKO [cover],3,6.0,7.4,8.7,10.1,-
Natural Flow,KENTARO「Crackin 'DJ」,2,4.0,7.1,10.1,10.1,-
Nerverakes,Taishi,3,6.0,7.6,10.3,12.8,-
Night Fly,発熱巫女～ず,3,4.0,7.4,9.9,11.5,-
Nitrous Fury,Jun Senoue,3,6.0,7.7,10.3,12.9,-
No Routine,A-One,2,5.0,6.5,9.5,12.1,-
Now Loading!!!!,fourfolium「NEW GAME!」,2,4.0,7.4,8.8,11.2,-
Nyan Cat EX,daniwell,2,4.0,7.1,9.8,12.5,-
One Step Ahead,伊東歌詞太郎,2,4.0,6.7,9.6,10.7,-
Oshama Scramble!,t+pazolite,3,5.0,7.8,10,13.3,-
Our Fighting,クーナ(CV 喜多村英梨)「PHANTASY STAR ONLINE 2」,2,4.0,6.8,9.3,11.1,-
Our Wrenally,t+pazolite,4,6.0,9,11.5,13.8,-
Outlaw's Lullaby,「龍が如く２」,2,4.0,7.8,9.1,12.9,-
PANDORA PARADOXXX,削除,6,7.7,10.7,12.7,13.9,14
PERFECT HUMAN,RADIO FISH,1,4.0,6,8.5,11.2,-
POP STAR,平井堅 ［cover］,1,4.0,6.2,7.9,10.4,-
POP TEAM EPIC,上坂すみれ「ポプテピピック」,1,4.0,6.4,8.8,10.7,12.7
Panopticon,cybermiso,4,5.0,8.7,11.5,13.4,13.4
Paradisus-Paradoxum,MYTH & ROID 「Re:ゼロから始める異世界生活」,2,4.0,7.3,9.2,12.2,-
Phantasm Brigade,Silver Forest,2,5.0,7.4,9.8,12.2,-
Pixel Voyage,YMCK,1,3.0,6,8.1,11,-
Prophesy One,vox2（小野秀幸）,4,6.0,8.5,10.5,13.6,-
Pursuing My True Self,目黒 将司,2,4.0,7,9.7,11.4,-
QZKago Requiem,t+pazolite,5,6.0,9.9,11.7,13.7,13.9
RIDGE RACER STEPS -GMT remix-,Yuji Masubuchi(BNSI)「RIDGE RACER」,2,5.0,7.2,10,12,-
Ragnarok,sky_delta,4,6.0,8.5,10.9,13.1,-
Reach For The Stars,"大谷智哉, Jean Paul Makhlouf of Cash Cash「ソニック カラーズ」",2,5.0,7.8,9.4,12.7,-
